dirname,dataset_name,url1,url2
101_ObjectCategories,Caltech 101,https://data.caltech.edu/records/mzrjq-6wc02/files/caltech-101.zip?download=1
MNIST,MNIST,https://yann.lecun.com/exdb/mnist/,https://www.kaggle.com/datasets/hojjatk/mnist-dataset?resource=download-directory&select=train-images-idx3-ubyte
